Source,Target,SourceType,TargetType
㐷,傌,简体字符,繁体字符
㐹,㑶 㐹,简体字符,繁体字符
㐽,偑,简体字符,繁体字符
㑇,㑳,简体字符,繁体字符
㑈,倲,简体字符,繁体字符
㑔,㑯,简体字符,繁体字符
㑩,儸,简体字符,繁体字符
㑮,𫝈,繁体字符,简体字符
㑯,㑔,繁体字符,简体字符
㑳,㑇,繁体字符,简体字符
㑶,㐹,繁体字符,简体字符
㒓,𠉂,繁体字符,简体字符
㓄,𪠟,繁体字符,简体字符
㓆,𠗣,简体字符,繁体字符
㓥,劏,简体字符,繁体字符
㓦划,㓦劃,简体词组,繁体词组
㓨,刾,繁体字符,简体字符
㓰,劃,简体字符,繁体字符
㔉,劚,简体字符,繁体字符
㔋,𪟎,繁体字符,简体字符
㖊,噚,简体字符,繁体字符
㖞,喎,简体字符,繁体字符
㖮,𪠵,繁体字符,简体字符
㗲,𠵾,繁体字符,简体字符
㗿,𪡛,繁体字符,简体字符
㘉,𠰱,繁体字符,简体字符
㘎,㘚,简体字符,繁体字符
㘓,𪢌,繁体字符,简体字符
㘔,𫬐,繁体字符,简体字符
㘚,㘎,繁体字符,简体字符
㚯,㜄,简体字符,繁体字符
㛀,媰,简体字符,繁体字符
㛝,𫝦,繁体字符,简体字符
㛟,𡞵,简体字符,繁体字符
㛠,𡢃,简体字符,繁体字符
㛣,㜏,简体字符,繁体字符
㛤,孋,简体字符,繁体字符
㛿,𡠹,简体字符,繁体字符
㜄,㚯,繁体字符,简体字符
㜏,㛣,繁体字符,简体字符
㜐,𫝧,繁体字符,简体字符
㜗,𡞋,繁体字符,简体字符
㜢,𡞱,繁体字符,简体字符
㜷,𡝠,繁体字符,简体字符
㞞,𪨊,繁体字符,简体字符
㟆,㠏,简体字符,繁体字符
㟜,𡾱,简体字符,繁体字符
㟥,嵾,简体字符,繁体字符
㟺,𪩇,繁体字符,简体字符
㠏,㟆,繁体字符,简体字符
㠣,𫵷,繁体字符,简体字符
㡎,幓,简体字符,繁体字符
㢗,𪪑,繁体字符,简体字符
㢝,𢋈,繁体字符,简体字符
㤘,㥮,简体字符,繁体字符
㤽,懤,简体字符,繁体字符
㥪,慺,简体字符,繁体字符
㥮,㤘,繁体字符,简体字符
㦎,𢛯,繁体字符,简体字符
㦛,𢗓,繁体字符,简体字符
㦞,𪫷,繁体字符,简体字符
㧏,掆,简体字符,繁体字符
㧐,㩳,简体字符,繁体字符
㧑,撝,简体字符,繁体字符
㧟,擓,简体字符,繁体字符
㧰,擽,简体字符,繁体字符
㨫,㩜,简体字符,繁体字符
㨻,𪮃,繁体字符,简体字符
㩋,𪮋,繁体字符,简体字符
㩜,㨫,繁体字符,简体字符
㩳,㧐,繁体字符,简体字符
㩵,擜,繁体字符,简体字符
㪎,𪯋,繁体字符,简体字符
㭎,棡,简体字符,繁体字符
㭏,椲,简体字符,繁体字符
㭣,𣙎,简体字符,繁体字符
㭤,樢,简体字符,繁体字符
㭴,樫,简体字符,繁体字符
㯤,𣘐,繁体字符,简体字符
㰙,𣗙,繁体字符,简体字符
㱩,殰,简体字符,繁体字符
㱮,殨,简体字符,繁体字符
㲿,瀇,简体字符,繁体字符
㳔,濧,简体字符,繁体字符
㳕,灡,简体字符,繁体字符
㳠,澾,简体字符,繁体字符
㳡,濄,简体字符,繁体字符
㳢,𣾷,简体字符,繁体字符
㳽,瀰,简体字符,繁体字符
㴋,潚,简体字符,繁体字符
㵗,𣳆,繁体字符,简体字符
㵾,𪷍,繁体字符,简体字符
㶆,𫞛,繁体字符,简体字符
㶉,鸂,简体字符,繁体字符
㶶,燶,简体字符,繁体字符
㶽,煱,简体字符,繁体字符
㷍,𤆢,繁体字符,简体字符
㷿,𤈷,繁体字符,简体字符
㸇,𤎺,繁体字符,简体字符
㹽,𫞣,繁体字符,简体字符
㺍,獱,简体字符,繁体字符
㺏,𤠋,繁体字符,简体字符
㺜,𪺻,繁体字符,简体字符
㻅,璯,简体字符,繁体字符
㻏,𤫩,简体字符,繁体字符
㻘,𤪺,简体字符,繁体字符
㻶,𪼋,繁体字符,简体字符
㿖,𪽮,繁体字符,简体字符
㿗,𤻊,繁体字符,简体字符
㿧,𤽯,繁体字符,简体字符
䀉,𥁢,繁体字符,简体字符
䀥,䁻,简体字符,繁体字符
䀹,𥅴,繁体字符,简体字符
䁖,瞜,简体字符,繁体字符
䁪,𥇢,繁体字符,简体字符
䁻,䀥,繁体字符,简体字符
䂎,𥎝,繁体字符,简体字符
䂵,碽,简体字符,繁体字符
䃅,磾,简体字符,繁体字符
䃮,鿎,繁体字符,简体字符
䅉,稏,简体字符,繁体字符
䅐,𫀨,繁体字符,简体字符
䅟,穇,简体字符,繁体字符
䅪,𥢢,简体字符,繁体字符
䅳,𫀬,繁体字符,简体字符
䆉,𫁂,繁体字符,简体字符
䇲,筴,简体字符,繁体字符
䉑,𫁲,繁体字符,简体字符
䉙,𥬀,繁体字符,简体字符
䉤,籔,简体字符,繁体字符
䉬,𫂈,繁体字符,简体字符
䉲,𥮜,繁体字符,简体字符
䉶,𫁷,繁体字符,简体字符
䊭,𥺅,繁体字符,简体字符
䊷,䌶,繁体字符,简体字符
䊺,𫄚,繁体字符,简体字符
䋃,𫄜,繁体字符,简体字符
䋔,𫄞,繁体字符,简体字符
䋙,䌺,繁体字符,简体字符
䋚,䌻,繁体字符,简体字符
䋦,𫄩,繁体字符,简体字符
䋹,䌿,繁体字符,简体字符
䋻,䌾,繁体字符,简体字符
䋼,𫄮,繁体字符,简体字符
䋿,𦈓,繁体字符,简体字符
䌈,𦈖,繁体字符,简体字符
䌋,𦈘,繁体字符,简体字符
䌖,𦈜,繁体字符,简体字符
䌝,𦈟,繁体字符,简体字符
䌟,𦈞,繁体字符,简体字符
䌥,𦈠,繁体字符,简体字符
䌰,𦈙,繁体字符,简体字符
䌶,䊷,简体字符,繁体字符
䌷,紬,简体字符,繁体字符
䌸,縳,简体字符,繁体字符
䌹,絅,简体字符,繁体字符
䌺,䋙,简体字符,繁体字符
䌻,䋚,简体字符,繁体字符
䌼,綐,简体字符,繁体字符
䌽,綵,简体字符,繁体字符
䌾,䋻,简体字符,繁体字符
䌿,䋹,简体字符,繁体字符
䍀,繿,简体字符,繁体字符
䍁,繸,简体字符,繁体字符
䍠,䍦,简体字符,繁体字符
䍤,𫅅,繁体字符,简体字符
䍦,䍠,繁体字符,简体字符
䍽,𦍠,繁体字符,简体字符
䎙,𫅭,繁体字符,简体字符
䎬,䎱,简体字符,繁体字符
䎱,䎬,繁体字符,简体字符
䏝,膞,简体字符,繁体字符
䑽,𦪙,简体字符,繁体字符
䓓,薵,简体字符,繁体字符
䓕,薳,简体字符,繁体字符
䓖,藭,简体字符,繁体字符
䓣,𬜯,繁体字符,简体字符
䓨,罃,简体字符,繁体字符
䕤,𫟕,繁体字符,简体字符
䕳,𦰴,繁体字符,简体字符
䖅,𫟑,繁体字符,简体字符
䗅,𫊪,繁体字符,简体字符
䗖,螮,简体字符,繁体字符
䗿,𧉞,繁体字符,简体字符
䘛,𧝞,简体字符,繁体字符
䘞,𧜗,简体字符,繁体字符
䙊,𧜵,简体字符,繁体字符
䙌,䙡,简体字符,繁体字符
䙓,襬,简体字符,繁体字符
䙔,𫋲,繁体字符,简体字符
䙡,䙌,繁体字符,简体字符
䙱,𧜭,繁体字符,简体字符
䚩,𫌯,繁体字符,简体字符
䛄,𫍠,繁体字符,简体字符
䛳,𫍫,繁体字符,简体字符
䜀,䜧,繁体字符,简体字符
䜖,𫟢,繁体字符,简体字符
䜣,訢,简体字符,繁体字符
䜤,鿁,简体字符,繁体字符
䜥,𧩙,简体字符,繁体字符
䜧,䜀,简体字符,繁体字符
䜩,讌,简体字符,繁体字符
䝙,貙,简体字符,繁体字符
䝭,𫎧,繁体字符,简体字符
䝻,𧹕,繁体字符,简体字符
䝼,䞍,繁体字符,简体字符
䞈,𧹑,繁体字符,简体字符
䞋,𫎪,繁体字符,简体字符
䞌,𧵳,简体字符,繁体字符
䞍,䝼,简体字符,繁体字符
䞎,𧶧,简体字符,繁体字符
䞐,賰,简体字符,繁体字符
䞓,𫎭,繁体字符,简体字符
䟃,𫎺,繁体字符,简体字符
䟆,𫎳,繁体字符,简体字符
䟐,𫎱,繁体字符,简体字符
䟢,躎,简体字符,繁体字符
䠆,𫏃,繁体字符,简体字符
䠱,𨅛,繁体字符,简体字符
䡐,𫟤,繁体字符,简体字符
䡩,𫟥,繁体字符,简体字符
䡵,𫟦,繁体字符,简体字符
䢀,𨊰,简体字符,繁体字符
䢁,𨊸,简体字符,繁体字符
䢂,𨋢,简体字符,繁体字符
䢨,𨑹,繁体字符,简体字符
䤤,𫟺,繁体字符,简体字符
䥄,𫠀,繁体字符,简体字符
䥇,䦂,繁体字符,简体字符
䥑,鿏,繁体字符,简体字符
䥕,𬭯,繁体字符,简体字符
䥗,𫔋,繁体字符,简体字符
䥩,𨱖,繁体字符,简体字符
䥯,𫔆,繁体字符,简体字符
䥱,䥾,繁体字符,简体字符
䥺,釾,简体字符,繁体字符
䥽,鏺,简体字符,繁体字符
䥾,䥱,简体字符,繁体字符
䥿,𨯅,简体字符,繁体字符
䦀,𨦫,简体字符,繁体字符
䦁,𨧜,简体字符,繁体字符
䦂,䥇,简体字符,繁体字符
䦃,鐯,简体字符,繁体字符
䦅,鐥,简体字符,繁体字符
䦆,钁,简体字符,繁体字符
䦘,𨸄,繁体字符,简体字符
䦛,䦶,繁体字符,简体字符
䦟,䦷,繁体字符,简体字符
䦯,𫔵,繁体字符,简体字符
䦳,𨷿,繁体字符,简体字符
䦶,䦛,简体字符,繁体字符
䦷,䦟,简体字符,繁体字符
䧢,𨸟,繁体字符,简体字符
䩄,靦,简体字符,繁体字符
䪊,𫖅,繁体字符,简体字符
䪏,𩏼,繁体字符,简体字符
䪗,𩐀,繁体字符,简体字符
䪘,𩏿,繁体字符,简体字符
䪴,𫖫,繁体字符,简体字符
䪾,𫖬,繁体字符,简体字符
䫀,𫖱,繁体字符,简体字符
䫂,𫖰,繁体字符,简体字符
䫟,𫖲,繁体字符,简体字符
䫴,𩖗,繁体字符,简体字符
䫶,𫖺,繁体字符,简体字符
䫻,𫗇,繁体字符,简体字符
䫾,𫠈,繁体字符,简体字符
䬓,𫗊,繁体字符,简体字符
䬘,𩙮,繁体字符,简体字符
䬝,𩙯,繁体字符,简体字符
䬞,𩙧,繁体字符,简体字符
䬧,𫗟,繁体字符,简体字符
䭀,𩠇,繁体字符,简体字符
䭃,𩠈,繁体字符,简体字符
䭑,𫗱,繁体字符,简体字符
䭔,𫗰,繁体字符,简体字符
䭪,𩞯,简体字符,繁体字符
䭿,𩧭,繁体字符,简体字符
䮄,𫠊,繁体字符,简体字符
䮝,𩧰,繁体字符,简体字符
䮞,𩨁,繁体字符,简体字符
䮠,𩧿,繁体字符,简体字符
䮫,𩨇,繁体字符,简体字符
䮰,𫘮,繁体字符,简体字符
䮳,𩨏,繁体字符,简体字符
䮾,𩧪,繁体字符,简体字符
䯀,䯅,繁体字符,简体字符
䯃,𩣑,简体字符,繁体字符
䯄,騧,简体字符,繁体字符
䯅,䯀,简体字符,繁体字符
䯤,𩩈,繁体字符,简体字符
䰾,鲃,繁体字符,简体字符
䱀,𫚐,繁体字符,简体字符
䱁,𫚏,繁体字符,简体字符
䱙,𩾈,繁体字符,简体字符
䱧,𫚠,繁体字符,简体字符
䱬,𩾊,繁体字符,简体字符
䱰,𩾋,繁体字符,简体字符
䱷,䲣,繁体字符,简体字符
䱸,𫠑,繁体字符,简体字符
䱽,䲝,繁体字符,简体字符
䲁,鳚,繁体字符,简体字符
䲅,𫚜,繁体字符,简体字符
䲖,𩾂,繁体字符,简体字符
䲘,鳤,繁体字符,简体字符
䲝,䱽,简体字符,繁体字符
䲞,𩶘,简体字符,繁体字符
䲟,鮣,简体字符,繁体字符
䲠,鰆,简体字符,繁体字符
䲡,鰌,简体字符,繁体字符
䲢,鰧,简体字符,繁体字符
䲣,䱷,简体字符,繁体字符
䲰,𪉂,繁体字符,简体字符
䳜,𫛬,繁体字符,简体字符
䳢,𫛰,繁体字符,简体字符
䳤,𫛮,繁体字符,简体字符
䳧,𫛺,繁体字符,简体字符
䳫,𫛼,繁体字符,简体字符
䴉,鹮,繁体字符,简体字符
䴋,𫜅,繁体字符,简体字符
䴓,鳾,简体字符,繁体字符
䴔,鵁,简体字符,繁体字符
䴕,鴷,简体字符,繁体字符
䴖,鶄,简体字符,繁体字符
䴗,鶪,简体字符,繁体字符
䴘,鷉,简体字符,繁体字符
䴙,鸊,简体字符,繁体字符
䴬,𪎈,繁体字符,简体字符
䴱,𫜒,繁体字符,简体字符
䴴,𪎋,繁体字符,简体字符
䴽,𫜔,繁体字符,简体字符
䵳,𪑅,繁体字符,简体字符
䵴,𫜙,繁体字符,简体字符
䶕,𫜨,繁体字符,简体字符
䶮,龑,简体字符,繁体字符
䶲,𫜳,繁体字符,简体字符
一丝不挂,一絲不掛,简体词组,繁体词组
一了心愿,一了心願,简体词组,繁体词组
一了百了,一了百了,简体词组,繁体词组
一了百当,一了百當,简体词组,繁体词组
一争两丑,一爭兩醜,简体词组,繁体词组
一伙,一夥,简体词组,繁体词组
一伙人,一夥人,简体词组,繁体词组
一伙头,一夥頭,简体词组,繁体词组
一偿宿愿,一償宿願,简体词组,繁体词组
一元复始,一元復始,简体词组,繁体词组
一克,一克,简体词组,繁体词组
一党,一黨,简体词组,繁体词组
一冲性子,一沖性子,简体词组,繁体词组
一准,一準,简体词组,繁体词组
一出剧,一齣劇,简体词组,繁体词组
一出去,一出去,简体词组,繁体词组
一出场,一出場,简体词组,繁体词组
一出子,一齣子,简体词组,繁体词组
一出戏,一齣戲,简体词组,繁体词组
一出来,一出來,简体词组,繁体词组
一出生,一出生,简体词组,繁体词组
一出祁山,一出祁山,简体词组,繁体词组
一分收获,一分收穫,简体词组,繁体词组
一分耕耘,一分耕耘,简体词组,繁体词组
一分钟,一分鐘,简体词组,繁体词组
一划,一劃,简体词组,繁体词组
一别,一別,简体词组,繁体词组
一别多年,一別多年,简体词组,繁体词组
一别头,一彆頭,简体词组,繁体词组
一刻千金,一刻千金,简体词组,繁体词组
一前一后,一前一後,简体词组,繁体词组
一力承当,一力承當,简体词组,繁体词组
一卷,一卷,简体词组,繁体词组
一厘一毫,一釐一毫,简体词组,繁体词组
一厢情愿,一廂情願,简体词组,繁体词组
一去不回,一去不回,简体词组,繁体词组
一去不复,一去不復,简体词组,繁体词组
一去不复返,一去不復返,简体词组,繁体词组
一发,一發,简体词组,繁体词组
一发之差,一髮之差,简体词组,繁体词组
一发之间,一髮之間,简体词组,繁体词组
一发千钧,一髮千鈞,简体词组,繁体词组
一口吃個,一口喫個,标准繁体词组,香港异体词组
一口吃成,一口喫成,标准繁体词组,香港异体词组
一口钟,一口鐘,简体词组,繁体词组
一只,一隻,简体词组,繁体词组
一台,一臺,简体词组,繁体词组
一台台,一臺臺,简体词组,繁体词组
一叶,一葉,简体词组,繁体词组
一叶兰,一葉蘭,简体词组,繁体词组
一叶扁舟,一葉扁舟,简体词组,繁体词组
一叶知秋,一葉知秋,简体词组,繁体词组
一号木杆,一號木桿,简体词组,繁体词组
一吊,一吊,简体词组,繁体词组
一吊钱,一吊錢,简体词组,繁体词组
一同,一同,简体词组,繁体词组
一向,一向,简体词组,繁体词组
一周,一週,简体词组,繁体词组
一周天,一周天,简体词组,繁体词组
一周年,一週年,简体词组,繁体词组
一周遭,一周遭,简体词组,繁体词组
一哄,一鬨,简体词组,繁体词组
一哄而上,一哄而上,简体词组,繁体词组
一哄而散,一鬨而散,简体词组,繁体词组
一哄而起,一哄而起,简体词组,繁体词组
一哄而集,一哄而集,简体词组,繁体词组
一喊出,一喊出,简体词组,繁体词组
一回,一回,简体词组,繁体词组
一回事,一回事,简体词组,繁体词组
一团,一團,简体词组,繁体词组
一团和气,一團和氣,简体词组,繁体词组
一团团,一團團,简体词组,繁体词组
一团漆黑,一團漆黑,简体词组,繁体词组
一团火,一團火,简体词组,繁体词组
一团糟,一團糟,简体词组,繁体词组
一国两制,一國兩制,简体词组,繁体词组
一地胡拿,一地胡拿,简体词组,繁体词组
一地里,一地裏,简体词组,繁体词组
一块面,一塊麪,简体词组,繁体词组
一坛,一罈,简体词组,繁体词组
一坛坛,一罈罈,简体词组,繁体词组
一坛死水,一壇死水,简体词组,繁体词组
一塌糊涂,一塌糊塗,简体词组,繁体词组
一壶千金,一壺千金,简体词组,繁体词组
一夜致富,一夜致富,简体词组,繁体词组
一大伙,一大夥,简体词组,繁体词组
一天后,一天後,简体词组,繁体词组
一天星斗,一天星斗,简体词组,繁体词组
一天钟,一天鐘,简体词组,繁体词组
一夫一妻,一夫一妻,简体词组,繁体词组
一夫当关,一夫當關,简体词组,繁体词组
一妻制,一妻制,简体词组,繁体词组
一妻多夫,一妻多夫,简体词组,繁体词组
一孔出气,一孔出氣,简体词组,繁体词组
一字一板,一字一板,简体词组,繁体词组
一字千金,一字千金,简体词组,繁体词组
一家三口,一家三口,标准繁体词组,香港异体词组
一家五口,一家五口,标准繁体词组,香港异体词组
一家六口,一家六口,标准繁体词组,香港异体词组
一家四口,一家四口,标准繁体词组,香港异体词组
一寸秋波,一寸秋波,简体词组,繁体词组
一将功成,一將功成,简体词组,繁体词组
一展长才,一展長才,简体词组,繁体词组
一干,一干,简体词组,繁体词组
一干二净,一乾二淨,简体词组,繁体词组
一干人,一干人,简体词组,繁体词组
一干家中,一干家中,简体词组,繁体词组
一干弟兄,一干弟兄,简体词组,繁体词组
一干弟子,一干弟子,简体词组,繁体词组
一干而尽,一乾而盡,简体词组,繁体词组
一干部下,一干部下,简体词组,繁体词组
一并,一併,简体词组,繁体词组
一开出来,一開出來,简体词组,繁体词组
一弦,一弦,简体词组,繁体词组
一当,一當,简体词组,繁体词组
一心向上,一心向上,简体词组,繁体词组
一念,一念,简体词组,繁体词组
一念三千,一念三千,简体词组,繁体词组
一扎,一紮,简体词组,繁体词组
一托头,一托頭,简体词组,繁体词组
一托气,一托氣,简体词组,繁体词组
一扣,一扣,简体词组,繁体词组
一折,一折,简体词组,繁体词组
一折一磨,一折一磨,简体词组,繁体词组
一折两段,一折兩段,简体词组,繁体词组
一折八扣,一折八扣,简体词组,繁体词组
一拍即合,一拍即合,简体词组,繁体词组
一挂,一掛,简体词组,繁体词组
一挂之下,一掛之下,简体词组,繁体词组
一掷千金,一擲千金,简体词组,繁体词组
一掷百万,一擲百萬,简体词组,繁体词组
一搜,一搜,简体词组,繁体词组
一摇一摆,一搖一擺,简体词组,繁体词组
一摇三摆,一搖三擺,简体词组,繁体词组
一播出,一播出,简体词组,繁体词组
一斗,一斗,简体词组,繁体词组
一斗再斗,一鬥再鬥,简体词组,繁体词组
一斗斗,一斗斗,简体词组,繁体词组
一方面,一方面,简体词组,繁体词组
一无所获,一無所獲,简体词组,繁体词组
一日万机,一日萬機,简体词组,繁体词组
一日三秋,一日三秋,简体词组,繁体词组
一日千里,一日千里,简体词组,繁体词组
一日叫娘,一日叫孃,简体词组,繁体词组
一早起了,一早起了,简体词组,繁体词组
一时糊涂,一時糊塗,简体词组,繁体词组
一曲,一曲,简体词组,繁体词组
一曲千金,一曲千金,简体词组,繁体词组
一曲阳关,一曲陽關,简体词组,繁体词组
一本万利,一本萬利,简体词组,繁体词组
一杆,一杆,简体词组,繁体词组
一杆进洞,一桿進洞,简体词组,繁体词组
一杠,一槓,简体词组,繁体词组
一杯,一杯,简体词组,繁体词组
一杯杯,一杯杯,简体词组,繁体词组
一杯羹,一杯羹,简体词组,繁体词组
一松,一鬆,简体词组,繁体词组
一板,一板,简体词组,繁体词组
一板一眼,一板一眼,简体词组,繁体词组
一板三眼,一板三眼,简体词组,繁体词组
一柜,一櫃,简体词组,繁体词组
一树百获,一樹百穫,简体词组,繁体词组
一根烟,一根菸,简体词组,繁体词组
一死了之,一死了之,简体词组,繁体词组
一毫一发,一毫一髮,简体词组,繁体词组
一池秋水,一池秋水,简体词组,繁体词组
一沐三捉发,一沐三捉髮,简体词组,繁体词组
一沐三握发,一沐三握髮,简体词组,繁体词组
一波三折,一波三折,简体词组,繁体词组
一泻千里,一瀉千里,简体词组,繁体词组
一派胡言,一派胡言,简体词组,繁体词组
一流人才,一流人才,简体词组,繁体词组
一涂,一塗,简体词组,繁体词组
一游,一遊,简体词组,繁体词组
一溜烟,一溜煙,简体词组,繁体词组
一点钟,一點鐘,简体词组,繁体词组
一物一制,一物一制,简体词组,繁体词组
一物克一物,一物剋一物,简体词组,繁体词组
一獲千金,一攫千金,日本新字体词组,繁体词组
一百多万,一百多萬,简体词组,繁体词组
一百廿万,一百廿萬,简体词组,繁体词组
一目了然,一目瞭然,简体词组,繁体词组
一目瞭然,一目了然,繁体词组,简体词组
一相情愿,一相情願,简体词组,繁体词组
一看出,一看出,简体词组,繁体词组
一碗面,一碗麪,简体词组,繁体词组
一碧万顷,一碧萬頃,简体词组,繁体词组
一禾九穗,一禾九穗,简体词组,繁体词组
一种,一種,简体词组,繁体词组
一秒钟,一秒鐘,简体词组,繁体词组
一穗三秀,一穗三秀,简体词组,繁体词组
一笑了之,一笑了之,简体词组,繁体词组
一笑千金,一笑千金,简体词组,繁体词组
一笔划,一筆劃,简体词组,繁体词组
一答一合,一答一合,简体词组,繁体词组
一签,一簽,简体词组,繁体词组
一箭之仇,一箭之仇,简体词组,繁体词组
一箭双雕,一箭雙鵰,简体词组,繁体词组
一系,一系,简体词组,繁体词组
一系列,一系列,简体词组,繁体词组
一统志,一統志,简体词组,繁体词组
一网打尽,一網打盡,简体词组,繁体词组
一翻出,一翻出,简体词组,繁体词组
一胎制,一胎制,简体词组,繁体词组
一至于此,一至於此,简体词组,繁体词组
一致,一致,简体词组,繁体词组
一致字,一致字,简体词组,繁体词组
一致性,一致性,简体词组,繁体词组
一致百虑,一致百慮,简体词组,繁体词组
一般等价,一般等價,简体词组,繁体词组
一落千丈,一落千丈,简体词组,繁体词组
一表,一表,简体词组,繁体词组
一表人才,一表人才,简体词组,繁体词组
一表人材,一表人材,简体词组,繁体词组
一表人物,一表人物,简体词组,繁体词组
一表非俗,一表非俗,简体词组,繁体词组
一表非凡,一表非凡,简体词组,繁体词组
一见钟情,一見鍾情,简体词组,繁体词组
一见面,一見面,简体词组,繁体词组
一视同仁,一視同仁,简体词组,繁体词组
一览表,一覽表,简体词组,繁体词组
一触即发,一觸即發,简体词组,繁体词组
一言不发,一言不發,简体词组,繁体词组
一言不合,一言不合,简体词组,繁体词组
一言千金,一言千金,简体词组,繁体词组
一言已定千金不移,一言已定千金不移,简体词组,繁体词组
一言既出,一言既出,简体词组,繁体词组
一言既出驷马难追,一言既出駟馬難追,简体词组,繁体词组
一言难尽,一言難盡,简体词组,繁体词组
一讲出,一講出,简体词组,繁体词组
一语不发,一語不發,简体词组,繁体词组
一说出,一說出,简体词组,繁体词组
一诺值千金,一諾值千金,简体词组,繁体词组
一诺千金,一諾千金,简体词组,繁体词组
一败涂地,一敗塗地,简体词组,繁体词组
一赞,一讚,简体词组,繁体词组
一走了之,一走了之,简体词组,繁体词组
一起干,一起幹,简体词组,繁体词组
一蹴可几,一蹴可幾,简体词组,繁体词组
一身作事一身当,一身作事一身當,简体词组,繁体词组
一轨同风,一軌同風,简体词组,繁体词组
一辞莫赞,一辭莫贊,简体词组,繁体词组
一递里,一遞裏,简体词组,繁体词组
一逞兽欲,一逞獸慾,简体词组,繁体词组
一道烟,一道煙,简体词组,繁体词组
一醉解千愁,一醉解千愁,简体词组,繁体词组
一里,一里,简体词组,繁体词组
一里一外,一裏一外,简体词组,繁体词组
一针,一針,简体词组,繁体词组
一针见血,一針見血,简体词组,繁体词组
一锅面,一鍋麪,简体词组,繁体词组
一锹掘个井,一鍬掘個井,简体词组,繁体词组
一院制,一院制,简体词组,繁体词组
一雨成秋,一雨成秋,简体词组,繁体词组
一面,一面,简体词组,繁体词组
一面之交,一面之交,简体词组,繁体词组
一面之缘,一面之緣,简体词组,繁体词组
一面之识,一面之識,简体词组,繁体词组
一面之词,一面之詞,简体词组,繁体词组
一面之辞,一面之辭,简体词组,繁体词组
一面之雅,一面之雅,简体词组,繁体词组
一面倒,一面倒,简体词组,繁体词组
一面儿官司,一面兒官司,简体词组,繁体词组
一面如旧,一面如舊,简体词组,繁体词组
一面点,一面點,简体词组,繁体词组
一飞冲天,一飛沖天,简体词组,繁体词组
一食万钱,一食萬錢,简体词组,繁体词组
一饭千金,一飯千金,简体词组,繁体词组
一饮而尽,一飲而盡,简体词组,繁体词组
一马当先,一馬當先,简体词组,繁体词组
一麾出守,一麾出守,简体词组,繁体词组
一鼓一板,一鼓一板,简体词组,繁体词组
一鼻孔出气,一鼻孔出氣,简体词组,繁体词组
一龙生九种种种各别,一龍生九種種種各別,简体词组,繁体词组
丁一确二,丁一確二,简体词组,繁体词组
丁丁冬冬,丁丁冬冬,简体词组,繁体词组
丁丁当当,丁丁當當,简体词组,繁体词组
丁丑,丁丑,简体词组,繁体词组
丁伯升,丁伯升,简体词组,繁体词组
丁克,丁克,简体词组,繁体词组
丁冬,丁冬,简体词组,繁体词组
丁固生松,丁固生松,简体词组,繁体词组
丁娘十索,丁娘十索,简体词组,繁体词组
丁字梁,丁字梁,简体词组,繁体词组
丁寧,叮嚀,日本新字体词组,繁体词组
丁当,丁當,简体词组,繁体词组
丁柏升,丁柏升,简体词组,繁体词组
丁种,丁種,简体词组,繁体词组
丁种维生素,丁種維生素,简体词组,繁体词组
丁重,鄭重,日本新字体词组,繁体词组
丁铃当啷,丁鈴噹啷,简体词组,繁体词组
丁零当啷,丁零當啷,简体词组,繁体词组
丁鸿志,丁鴻志,简体词组,繁体词组
七万,七萬,简体词组,繁体词组
七万三千,七萬三千,简体词组,繁体词组
七万五千,七萬五千,简体词组,繁体词组
七万八千,七萬八千,简体词组,繁体词组
七万六千,七萬六千,简体词组,繁体词组
七万四千,七萬四千,简体词组,繁体词组
七个,七個,简体词组,繁体词组
七个八个,七個八個,简体词组,繁体词组
七了八当,七了八當,简体词组,繁体词组
七余,七餘,简体词组,繁体词组
七八下里,七八下裏,简体词组,繁体词组
七出,七出,简体词组,繁体词组
七出戏,七齣戲,简体词组,繁体词组
七出祁山,七出祁山,简体词组,繁体词组
七分钟,七分鐘,简体词组,繁体词组
七划,七劃,简体词组,繁体词组
七十七万,七十七萬,简体词组,繁体词组
七十七国集团,七十七國集團,简体词组,繁体词组
七十五万,七十五萬,简体词组,繁体词组
七千,七千,简体词组,繁体词组
七千两百,七千兩百,简体词组,繁体词组
七发,七發,简体词组,繁体词组
七只,七隻,简体词组,繁体词组
七台,七臺,简体词组,繁体词组
七台河,七臺河,简体词组,繁体词组
七台河市,七臺河市,简体词组,繁体词组
七叶胆,七葉膽,简体词组,繁体词组
七周,七週,简体词组,繁体词组
七回,七回,简体词组,繁体词组
七团,七團,简体词组,繁体词组
七国集团,七國集團,简体词组,繁体词组
七坛,七罈,简体词组,繁体词组
七天后,七天後,简体词组,繁体词组
七娘,七娘,简体词组,繁体词组
七娘妈,七孃媽,简体词组,繁体词组
七孔生烟,七孔生煙,简体词组,繁体词组
七巧板,七巧板,简体词组,繁体词组
七弦,七絃,简体词组,繁体词组
七彩,七彩,简体词组,繁体词组
七彩缤纷,七彩繽紛,简体词组,繁体词组
七彩虹,七彩虹,简体词组,繁体词组
七情六欲,七情六慾,简体词组,繁体词组
七扎,七紮,简体词组,繁体词组
七折,七折,简体词组,繁体词组
七折八扣,七折八扣,简体词组,繁体词组
七政四余,七政四餘,简体词组,繁体词组
七星坛,七星壇,简体词组,繁体词组
七星岩,七星巖,简体词组,繁体词组
七星巖,七星巖,标准繁体词组,香港异体词组
七星板,七星板,简体词组,繁体词组
